key,press_time,release_time,dwell_time,flight_time
m,1058.0,1181.6,123.6,-26.5
a,1155.1,1305.7,150.6,1555.8
Backspace,2861.5,2941.2,79.7,91.9
Backspace,3033.1,3114.0,80.9,94.3
Backspace,3208.3,3274.0,65.7,2188.7
s,5462.7,5606.9,144.2,112.6
e,5719.5,5844.5,125.0,191.7
c,6036.2,6180.7,144.5,149.7
u,6330.4,6517.4,187.0,42.1
r,6559.5,6693.4,133.9,4.4
e,6697.8,6817.1,119.3,1098.2
p,7915.3,8024.5,109.2,58.8
a,8083.3,8228.7,145.4,83.2
s,8311.9,8419.3,107.4,1360.9
s,9780.2,9923.5,143.3,495.3
w,10418.8,10601.1,182.3,82.8
o,10683.9,10808.2,124.3,236.5
r,11044.7,11166.9,122.2,275.4
d,11442.3,11544.0,101.7,470.5
1,12014.5,12175.4,160.9,142.1
2,12317.5,12425.6,108.1,93.2
3,12518.8,12625.3,106.5,0.0
